"method","file","size_bytes","rows","source"
"GET","GET_api_anomaly_mom-composition-change.json","173587206","1262421","tidb"
"GET","GET_api_anomaly_mom-count-change.json","765629","10087","tidb"
"GET","GET_api_anomaly_observed-vs-predicted.json","1289860","10010","tidb"
"GET","GET_api_crime-action_domestic-trend.json","840170","10164","tidb"
"GET","GET_api_crime-action_dominant-type-by-hour.json","1567","24","tidb"
"GET","GET_api_crime-action_dominant-type-by-region.json","5049","77","tidb"
"GET","GET_api_dashboard_command-center.json","1458866","1","tidb"
"GET","GET_api_eda_categorical_crime-location-heatmap_limit_10.json","8126","100","tidb"
"GET","GET_api_eda_categorical_top-crime-types_limit_10.json","1278","20","tidb"
"GET","GET_api_eda_categorical_top-locations_limit_10.json","1439","20","tidb"
"GET","GET_api_eda_geography_community-choropleth_year_2023.json","14730","77","tidb"
"GET","GET_api_eda_geography_community-choropleth_year_2024.json","14593","77","tidb"
"GET","GET_api_eda_geography_community-geojson.json","2072148","1","tidb"
"GET","GET_api_eda_geography_hardship-index.json","4817","77","tidb"
"GET","GET_api_eda_geography_points_year_2024_limit_300.json","15570","300","tidb"
"GET","GET_api_eda_key-stats_arrest-domestic.json","307","1","tidb"
"GET","GET_api_eda_overview_missing-values.json","600","8","tidb"
"GET","GET_api_eda_overview_total-records.json","109","1","tidb"
"GET","GET_api_eda_raw_recent_limit_1000.json","681164","1000","tidb"
"GET","GET_api_eda_temporal_crime-types-yearly_limit_all.json","19015","311","tidb"
"GET","GET_api_eda_temporal_day-of-week.json","350","7","tidb"
"GET","GET_api_eda_temporal_hour-day-heatmap.json","7332","168","tidb"
"GET","GET_api_eda_temporal_monthly.json","377","12","tidb"
"GET","GET_api_eda_temporal_yearly.json","360","10","tidb"
"GET","GET_api_eda_victim_filters.json","564","1","tidb"
"GET","GET_api_health.json","137","1",""
"GET","GET_api_model-lab_ablation.json","827","3","tidb"
"GET","GET_api_model-lab_generalization.json","6129","9","tidb"
"GET","GET_api_model-lab_reliability.json","371","3","tidb"
"GET","GET_api_operations_hourly-count-by-type.json","49618","727","tidb"
"GET","GET_api_operations_hourly-year-by-region.json","1380617","20326","tidb"
"GET","GET_api_operations_predicted-risk-next-month.json","10900","77","tidb"
"GET","GET_api_performance_by-crime-type.json","315","2","tidb"
"GET","GET_api_performance_by-region.json","7316","77","tidb"
"GET","GET_api_performance_hotspot-hit.json","11369","130","tidb"
"GET","GET_api_socio_predicted-risk-hardship-map.json","10900","77","tidb"
"GET","GET_api_socio_region-risk-hardship-trend.json","1051107","10010","tidb"
"GET","GET_api_socio_risk-vs-hardship.json","8146","77","tidb"
"GET","GET_api_strategic_crime-count-year.json","44727","847","tidb"
"GET","GET_api_strategic_crime-count-year-by-type.json","21932","342","tidb"
"GET","GET_api_strategic_crime-type-year-by-region.json","671960","8464","tidb"
"POST","POST_eda_victim_dashboard_default.json","22873","1","tidb"
